Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
neeyr#5072 / @zankinoyaiba,にぇーあ,Japan,1ggk4Neo-sEGpPObXfZDAlp0w4crRqztx.png,,,ららーぽいーん！1周年おめでとう！！！貴女に出会えて良かった、まさに人生の分岐点と思うほどに。まだまだ推し続けていきますので、これからもよろしくお願いします！本当におめでとう！,
Shantorus#5956,Breadman,United-States,Bodan.png,,,Thank you for your hard work Botan!,いつもありがとう、ぼたん！
PhantomZamber#8159,Phantom Zamber,United-Kingdom,1zlFjrAlCEWK8Z50sbbVohxWb3-SFuXhy.png,,,"Happy 1 year anniversary Botan-san. Thank you for all the smiles, the laughs, and the fun times. May happiness and good health follow you always. Here's to another fantastic year. Phantom Zamber",ぼたんさん、1周年おめでとうございます。あなたの笑顔、笑い、楽しい時間、すべてに感謝します。健康と幸せがいつもあなたと共にありますように。次の1年が再び素敵な1年になりますように。 Phantom Zamber
モリソン#8755/@morimori_soom,バレてない方のMorrison【着火済みSSRB・変更不可】,Japan,1S-hOv_ML32AY7B9eE3FTvt3UpouwZApU.jpg,,,デビュー１周年おめでとうございます！FPSガチ勢の経験からくるゲームへの適応力の高さ、学力テストや宇宙人狼で魅せる賢さ、歌配信での尊さや可愛さ、たった１年で多くの思い出をししろんに頂きました。これからもずっと応援し続けます。これからもさすしし!なところを魅せてください。,
Corrupted Sanity (Vex)#5937,BlackfireHedgehog,Canada,1FFWqX_Cpu0vXZYeXzpddmZLTw-3p-Mgr.png,,,"I don't understand Japanese, but I still find your streams of games like Trials Rising are a great way to relax and have a laugh. You're clever and understand the games, and use that to make crazy and amusing things happen. I also really enjoy your cover of Will - Listening to it makes me feel calm.",私は日本語がわかりません。それでもトライアルズライジングなどのゲーム配信では、リラックスできたり笑わせてもらえたりします。ぼたんちゃんは頭が良く、ゲームのことをきちんと理解することで、いつも面白くてクレイジーなことを巻き起こしてくれますね。「Will」のカバーもとてもエンジョイさせてもらっています。聴いていると落ち着いた気分になれます。
vtange#0647,vtange,United-States,Bodan.png,,,ぼたんちゃん一周年おめでとうございます！いつもの配信お疲れ様です。ショッピングカートのゲームとTABSの配信はめっちゃ楽しかったぞ！あなたの笑い声を聞くと自分も笑っちゃうｗ。🛒 これからもよろしくね！,
重力ペンギン#9906/重力ペンギン＠jimmyh5397,重力ペンギン,Taiwan,1DpAJVdVlLVxowR-4D2Ot68kdX09rU4aj.png,,,どんなゲームでも全力で楽しめるししろんが大好きです！推せる限り一生懸命ついていきますので、これからもよろしくお願いいたします。,
Pericuinkle#5473 / @little_roseus,Pericuinkle,Taiwan,1V_l_mdZpkDeKZmHS7DL7-scWLpZaoz1G.png,(1) - Pericuinkle.png,,Happy 1st anniversary to our gentle and cute white lion!! Wish you everlasting joy and happiness.,1周年記念のお祝いを、みんなの優しくてかわいいホワイトライオンに贈ります！いつまでも変わらない喜びと幸福がありますようお祈りしています。
Naki#4065,Naki,Vietnam,Bodan.png,,,"Hello Shishiron! Congratulations on your 1st year anniversary! It's been 1 year already and i can still remember when i first watch your debut, it's been great to be a part of the SSRB and watch your amazing stream. Let's continue to do our best this year!",ハロー、ししろん！1周年おめでとう！もうかれこれ1年が経ちましたが、ししろんのデビュー配信を初めて見たときのことを今でも覚えています。SSRBの一員でいられること、そしてししろんの素敵な配信を見られることをとても嬉しく思います。これからの1年、また一緒に頑張っていきましょう！
@HeyKDHR,Ly,Philippines,1E0O1Fk0SuNTovI2ZyNNUKn_twpbFkCIV.png,,,"Botan-chan! Congratulations on your 1st anniversary! Even though Botan looks cool, Botan's giggles are so cute. Its really fun to watch your stream, shopping cart saikou! Keep having fun with the streams, SSRB are always here to support you. Stay safe, healthy and keep POI-ing Botan!",ぼたんちゃん！1周年おめでとう！ぼたんちゃんはクールに見えるけど、クスッとした笑いがとてもかわいいです。ぼたんちゃんの配信はとても楽しいです。ショッピングカート、サイコー！これからも配信楽しんで続けてください。SSRBはいつもそばで応援していますよ。何事もなく無事で健康にPOIし続けてください、ぼたん！
